N,Streamflow (Coxs),ST-63036,ST-63049,ST-63132,ST-63146,ST-63246,Streamflow (212260 - KOWMUNG),ST-63036(d-1),ST-63049(d-1),ST-63132(d-1),ST-63146(d-1),ST-63246(d-1),Streamflow (212260 – KOWMUNG)(d-1),ST-63036(d-2),ST-63049(d-2),ST-63132(d-2),ST-63146(d-2),ST-63246(d-2),Streamflow (212260 – KOWMUNG)(d-2)
22,0.00190847639321645,0,0,0,0,0.00685714285714286,0.00296217683665535,0,0,0,0,0.00685714285714286,0.0031996193633665,0,0,0,0,0,0.00339393191878737
23,0.00192998044285203,0.0112903225806452,0.032183908045977,0.040650406504065,0.0597701149425287,0.024,0.00277371902846845,0,0,0,0,0.00685714285714286,0.00296217683665535,0,0,0,0,0.00685714285714286,0.0031996193633665
24,0.00203157185469223,0.133870967741935,0.114942528735632,0.197831978319783,0.16551724137931,0,0.00292119360601754,0.0112903225806452,0.032183908045977,0.040650406504065,0.0597701149425287,0.024,0.00277371902846845,0,0,0,0,0.00685714285714286,0.00296217683665535
25,0.00244896193286474,0.22258064516129,0.289655172413793,0.585365853658537,0.16551724137931,0.146285714285714,0.00340102266821518,0.133870967741935,0.114942528735632,0.197831978319783,0.16551724137931,0,0.00292119360601754,0.0112903225806452,0.032183908045977,0.040650406504065,0.0597701149425287,0.024,0.00277371902846845
26,0.00313305350294078,0,0,0.0596205962059621,0,0.00114285714285714,0.00507144710681486,0.22258064516129,0.289655172413793,0.585365853658537,0.16551724137931,0.146285714285714,0.00340102266821518,0.133870967741935,0.114942528735632,0.197831978319783,0.16551724137931,0,0.00292119360601754
27,0.00321743526551973,0,0.00229885057471264,0,0,0.00342857142857143,0.00697736248971435,0,0,0.0596205962059621,0,0.00114285714285714,0.00507144710681486,0.22258064516129,0.289655172413793,0.585365853658537,0.16551724137931,0.146285714285714,0.00340102266821518
28,0.00271072806911421,0,0,0,0,0,0.00618001096919421,0,0.00229885057471264,0,0,0.00342857142857143,0.00697736248971435,0,0,0.0596205962059621,0,0.00114285714285714,0.00507144710681486
29,0.00401202752582449,0.00483870967741936,0,0,0,0.00228571428571429,0.00488695751619765,0,0,0,0,0,0.00618001096919421,0,0.00229885057471264,0,0,0.00342857142857143,0.00697736248971435
30,0.00348605962326251,0,0,0,0,0,0.00417742720418711,0.00483870967741936,0,0,0,0.00228571428571429,0.00488695751619765,0,0,0,0,0,0.00618001096919421
31,0.00290974468347625,0,0.00459770114942529,0,0,0,0.00372153755290171,0,0,0,0,0,0.00417742720418711,0.00483870967741936,0,0,0,0.00228571428571429,0.00488695751619765
32,0.00241758717192103,0,0,0,0,0,0.00338124663311376,0,0.00459770114942529,0,0,0,0.00372153755290171,0,0,0,0,0,0.00417742720418711
33,0.00206272228128803,0,0,0,0,0,0.00306385428028535,0,0,0,0,0,0.00338124663311376,0,0.00459770114942529,0,0,0,0.00372153755290171
34,0.0018531940003381,0,0,0,0,0,0.00280481424155555,0,0,0,0,0,0.00306385428028535,0,0,0,0,0,0.00338124663311376
35,0.00173670037824373,0.0032258064516129,0.00229885057471264,0,0,0.0137142857142857,0.00254883168193682,0,0,0,0,0,0.00280481424155555,0,0,0,0,0,0.00306385428028535
36,0.00172763086103529,0,0,0,0,0,0.00243765653723837,0.0032258064516129,0.00229885057471264,0,0,0.0137142857142857,0.00254883168193682,0,0,0,0,0,0.00280481424155555
37,0.00168843644567864,0,0,0,0,0,0.00227795204324498,0,0,0,0,0,0.00243765653723837,0.0032258064516129,0.00229885057471264,0,0,0.0137142857142857,0.00254883168193682
38,0.00155790590295777,0,0,0,0,0,0.00214472401729857,0,0,0,0,0,0.00227795204324498,0,0,0,0,0,0.00243765653723837
39,0.00141811355644452,0,0,0,0,0,0.00199881070567854,0,0,0,0,0,0.00214472401729857,0,0,0,0,0,0.00227795204324498
40,0.00128351294769725,0,0,0,0,0.00342857142857143,0.00185875214129249,0,0,0,0,0,0.00199881070567854,0,0,0,0,0,0.00214472401729857
41,0.00124617730265187,0.0645161290322581,0.122988505747126,0.0677506775067751,0.096551724137931,0.0891428571428571,0.00183747989300905,0,0,0,0,0.00342857142857143,0.00185875214129249,0,0,0,0,0,0.00199881070567854
42,0.00160187543514855,0.00967741935483871,0.028735632183908,0.002710027100271,0.0229885057471264,0.032,0.00221699761926462,0.0645161290322581,0.122988505747126,0.0677506775067751,0.096551724137931,0.0891428571428571,0.00183747989300905,0,0,0,0,0.00342857142857143,0.00185875214129249
43,0.00182470353815326,0.0258064516129032,0.0206896551724138,0.00813008130081301,0.0160919540229885,0.0205714285714286,0.00200102249907804,0.00967741935483871,0.028735632183908,0.002710027100271,0.0229885057471264,0.032,0.00221699761926462,0.0645161290322581,0.122988505747126,0.0677506775067751,0.096551724137931,0.0891428571428571,0.00183747989300905
